"short","name","diocese"
"BA","Bratislava","BA"
"BB","Banská Bystrica","BA"
"BJ","Bardejov","PO"
"DI","Diaspora","WW"
"GI","Giraltovce","PO"
"HA","Hanušovce nad Topľou","PO"
"HN","Humenné","PO"
"HR","Hrabské","PO"
"KE","Košice","KE"
"MI","Michalovce","KE"
"ML","Medzilaborce","PO"
"OR","Orlov","PO"
"PO","Prešov","PO"
"PP","Poprad","PO"
"SA","Snina","PO"
"SB","Sabinov","PO"
"SE","Sečovce","KE"
"SK","Svidník","PO"
"SL","Stará Ľubovňa","PO"
"SN","Spišská Nová Ves","KE"
"SO","Sobrance","KE"
"SP","Špeciálne","WW"
"ST","Stropkov","PO"
"TN","Trenčín","BA"
"TV","Trebišov","KE"
"VK","Maďarský","KE"
"VT","Vranov nad Topľou","PO"
"VV","Čemerné","PO"
"ZA","Žilina","BA"
